,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
4249,2006-06-27,25920.68,25023.839,804323.7792810006,207204.15178050092,455.1968275158571
4250,2006-06-26,25920.74,24963.382999999998,916532.425449007,176872.1766509008,420.5617394044551
4251,2006-06-23,25668.69,24898.4905,593207.2698002482,140139.13254325045,374.351616188912
4252,2006-06-22,25345.56,24846.203,249357.41344899999,122742.94195928797,350.3468880399653
4253,2006-06-21,25219.29,24808.098,169078.86086399926,124031.55242603789,352.1811358179735
4254,2006-06-20,25021.24,24776.3065,59992.41942225138,132975.70706728805,364.658342928402
4255,2006-06-19,24972.06,24749.159999999996,49684.41000000227,145105.7889616878,380.9275376783461
4256,2006-06-16,24751.82,24722.560999999998,856.0890810001073,158977.79419688773,398.72019537124993
4257,2006-06-15,24836.58,24702.888,17873.550864000732,173972.47420495027,417.10007696588866
4258,2006-06-14,25088.54,24673.5985,172176.4484222507,185653.8088619502,430.8756303876447
4259,2006-06-13,25242.91,24630.966999999997,374474.23524900357,191703.33742088772,437.8393968350584
4260,2006-06-12,25046.32,24580.6195,216876.9557002491,190515.94091155002,436.4813179410432
4261,2006-06-09,24906.54,24542.345999999998,132637.26963600228,203327.87370433746,450.9189214308238
4262,2006-06-08,24682.86,24515.479,28016.39916100041,230916.7783443375,480.538009260805
4263,2006-06-07,24555.49,24501.1295,2955.063960250272,270508.9847854001,520.1047825057948
4264,2006-06-06,24585.8,24493.6525,8491.16175624984,317634.7494178375,563.5909415682952
4265,2006-06-05,24593.15,24475.301,13888.386801000466,352268.23552813765,593.5218913638633
4266,2006-06-02,24612.38,24443.576500000003,28494.621612249382,371003.60455060017,609.100652232946
4267,2006-06-01,24760.47,24395.591,133136.68464100058,375498.9935356,612.7797267661521
4268,2006-05-31,24745.66,24330.8955,172029.59046025094,370352.30750855006,608.5657791139345
4269,2006-05-30,24711.56,24266.943000000003,197684.27668899857,363397.60472765006,602.8246882200912
4270,2006-05-26,24622.89,24196.426,181871.54329599996,353541.55365765013,594.593603781314
4271,2006-05-25,24622.94,24127.679,245283.4581209986,344502.1035730501,586.9430156097354
4272,2006-05-24,24583.46,24058.932,275129.6227839984,332313.4375900127,576.4663369096348
4273,2006-05-23,24583.46,23993.576999999997,347961.9536890019,318573.7723968628,564.4233981656525
4274,2006-05-22,24478.31,23928.224500000004,302594.05731024715,301206.3238785252,548.822670703867
4275,2006-05-19,24440.08,23868.132,327124.5147040004,286124.5594778128,534.9061221165942
4276,2006-05-18,24358.36,23809.9535,300749.68924225104,269869.6152450628,519.4897643313705
4277,2006-05-17,24250.79,23749.292,251500.2440039996,256628.78046295018,506.5854128011881
