Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,REER,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,Foreign_Exchange_Reserve_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%_change
2014-03,-0.6,-2.81,-1.2112198871564182,0.9553068412947014,-678.0753290576358,92.61441033,-84.8150071605055,0.9211334390765978,2.680952380952381,2.6,2.620952380952381,2.54,,10.273937281002542,1.4068075266233837,0.0999500333083423,-1.4958955676434966,1.595845600951839
2014-04,-0.87,-2.68,-0.5445525068753762,0.9524960410047808,-686.7321292060492,93.63743856,-107.661832972948,0.4257979016316411,2.5954545454545457,2.5,2.505454545454546,2.41,694.0,6.874043579330991,1.479345662024237,-0.1000500333583534,-1.25773295666667,1.1576829233083166
2014-05,-0.95,-2.23,10.495780499961857,1.0543892737861096,-477.4952679103475,93.88745105,-132.540633342452,-0.2310112462320303,2.4863636363636363,2.4,2.4063636363636363,2.32,-1218.0,8.158596511669591,1.484106780677447,-0.1000500333583534,-1.2377549855142689,1.1377049521559155
2014-06,-0.96,-1.86,-3.41894539259422,1.0110436468752733,-538.916767807569,92.83086347,-131.343399233988,-0.6940997951979085,2.38,2.3,2.29,2.21,210.0,10.704185678441934,1.4227600915615086,-0.3004509020298724,-1.2842226906324037,0.9837717886025312
2014-07,-0.95,-2.15,-5.825824018127693,0.9494233211209064,-363.1604374447511,91.90116002,-80.1566760441463,-0.3810580843027626,2.239130434782609,2.1,2.159130434782609,2.02,-1390.0,5.946172219403811,1.3542570053425118,0.0999500333083423,-1.17452047,1.2744705033083423
2014-08,-0.83,-2.1,1.4719915260041083,0.9631512480709968,-401.3720715649002,90.5631629,-43.0382920576418,0.8006826723005256,2.1,2.1,2.03,2.03,-1961.0,15.848949222255149,1.321855210078816,0.1998002662673058,-0.7732867012749716,0.9730869675422772
2014-09,-0.9,-2.11,0.590277934010362,0.9682553102640428,-501.9198382863864,89.97865576,-29.4850561687569,2.294020710032159,2.1,2.1,2.03,2.03,188.0,8.655804441943339,1.2953676470999016,-0.5012541823544286,-0.3503885776143732,-0.1508656047400554
2014-10,-0.51,-1.55,-3.155712337521825,0.939191331619377,-465.38575840488,91.11643045,-31.7714285714286,3.101775017838556,2.1,2.1,2.03,2.03,715.0,-4.127316252264201,1.258331131486769,-0.4008021397538822,-0.22530423,-0.1754979097538822
2014-11,-0.45,-1.34,0.1718790414957716,0.9448620702542148,-327.767917202548,91.02773241,-42.303047651421,2.8372981089542297,2.1,2.1,2.02,2.02,-442.0,-10.262440593537292,1.206153093413758,-0.7024614936964466,-0.6206381402489544,-0.0818233534474922
2014-12,-0.44,-1.52,-4.127298475108775,0.9077497827979624,-310.6022273726694,90.32825659,-38.9787117321671,1.980275529041906,2.1,2.1,2.04,2.04,-496.0,-9.684098161954148,1.1690688135968152,-0.9040744652149072,-1.2788805439574968,0.3748060787425896
