Date,Foreign Exchange Reserves USD mn
2015-12-31,28284.82
2016-01-31,27607.85
2016-02-29,27811.82
2016-03-31,27336.38
2016-04-30,26614.81
2016-05-31,26594.39
2016-06-30,26505.5
2016-07-31,25581.58
2016-08-31,25031.93
2016-09-30,23806.51
2016-10-31,23689.87
2016-11-30,25081.22
2016-12-31,26990.58
2017-01-31,28592.98
2017-02-28,29990.36
2017-03-31,29996.38
2017-04-30,30749.28
2017-05-31,29811.85
2017-06-30,30340.97
2017-07-31,30898.96
2017-08-31,31278.95
2017-09-30,33159.73
2017-10-31,34332.58
2017-11-30,38207.96
2017-12-31,39353.49
2018-01-31,41150.28
2018-02-28,45276.58
2018-03-31,46730.54
2018-04-30,47438.22155668
2018-05-31,46923.01269813
2018-06-30,47157.89590357
2018-07-31,45814.2
2018-08-31,44606.79
2018-09-30,42608.95
2018-10-31,40606.28693469
2018-11-30,43348.25349663
2018-12-31,42594.84285275
2019-01-31,42515.66
2019-02-28,42328.96
2019-03-31,44793.08
2019-04-30,44474.29116559
2019-05-31,44898.41625592
2019-06-30,44747.02462492
2019-07-31,43971.93
2019-08-31,42062.42
2019-09-30,40689.89
2019-10-31,39614.79988852
2019-11-30,38799.55434096
2019-12-31,38092.72020072
2020-01-31,36730.57325384
2020-02-29,36599.88995038
2020-03-31,33689.05331424
2020-04-30,36459.47800102
2020-05-31,36203.16598699
2020-06-30,35779.67803
2020-07-31,35559.80419848
2020-08-31,35511.92622709
2020-09-30,35964.52684048
2020-10-31,35580.47865929
2020-11-30,34938.19920454
2020-12-31,36476.89169057
2021-01-31,35440.8751485
2021-02-28,34461.45837489
2021-03-31,35137.83950442
2021-04-30,34320.72712804
2021-05-31,34180.21175483
2021-06-30,32990.71492314
2021-07-31,33492.39792756
2021-08-31,35979.76449952
2021-09-30,41571.36800538
2021-10-31,41300.11111724
2021-11-30,40478.08024277
2021-12-31,40230.8032288
2022-01-31,39319.72151395
2022-02-28,39668.53424359
2022-03-31,39275.44576533
2022-04-30,38540.45268538
2022-05-31,38600.5805337
2022-06-30,39163.6500739
2022-07-31,38309.16591341
2022-08-31,38353.32984627
2022-09-30,37394.38154333
2022-10-31,36872.09334047
2022-11-30,36900.47239487
2022-12-31,36608.22737534
2023-01-31,36395.49302467
2023-02-28,36048.4029353
2023-03-31,35144.28712045
2023-04-30,34957.62728898
2023-05-31,34387.69620344
2023-06-30,33713.40255098
