"Date","Reserves","YoY_change"
"12/31/1987",7504.58891,164.562818515124
"01/31/1988",7925.6614,246.549837763694
"02/29/1988",8240.5976935,222.137433778977
"03/31/1988",8555.533987,-9.46050770136638
"04/30/1988",6438.41242,142.794042537145
"05/31/1988",5458.61302,28.690099235832
"06/30/1988",4478.81362,-23.1968019038691
"07/31/1988",5458.61302,37.2683453201227
"08/31/1988",5132.01322,4.97061198609122
"09/30/1988",5024.1688188,-30.5837152659643
"10/31/1988",5204.93168627,-28.2582440730125
"11/30/1988",5120.37124169,9.6063713008391
"12/31/1988",5229.104587,-30.3212387818855
"01/31/1989",4310.46022,-45.6138736888255
"02/28/1989",4769.7824035,-42.1184896908352
"03/31/1989",4540.12131175,-46.9335132249063
"04/30/1989",9236.52053,43.4595972961919
"05/31/1989",5157.917716,-5.50863933563841
"06/30/1989",1079.314902,-75.9017678882561
"07/31/1989",1053.73,-80.6960120430006
"08/31/1989",2430.32087267,-52.6439085698614
"09/30/1989",2309.655256,-54.0291073150752
"10/31/1989",3033.53067727,-41.718146171407
"11/30/1989",2984.24728256,-41.7181461714671
"12/31/1989",3047.61909194,-41.7181461713992
"01/31/1990",3386.768956,-21.42906364648
"02/28/1990",3960.73500581,-16.96193514187
"03/31/1990",3770.02887949,-16.9619351418424
"04/30/1990",3696.20444,-59.9827182974929
"05/31/1990",3170.336448,-38.534567192386
"06/30/1990",2644.468456,145.013614756891
"07/31/1990",2839.614978,169.482218215292
"08/31/1990",2884.80662733,18.7006481230889
"09/30/1990",2762.124273,19.5903269903411
"10/31/1990",2828.84862611,-6.74732095817148
"11/30/1990",3807.807807,27.5969263422942
"12/31/1990",4541.44783308,49.016254855822
"01/31/1991",4003.753231,18.2174893834122
"02/28/1991",4682.281485,18.2174893834494
"03/31/1991",4428.320007,17.4611693584441
"04/30/1991",4222.378414,14.2355213988109
"05/31/1991",4085.359959,28.8620317120361
"06/30/1991",3902.18624,47.5603246900669
"07/31/1991",3833.018357,34.9837350026825
"08/31/1991",3681.72236134,27.6245806724167
"09/30/1991",3869.66778473,40.0975264783099
"10/31/1991",4023.90782217,42.2454275223396
"11/30/1991",3738.14038113,-1.82959407094886
"12/31/1991",4149.29770418,-8.63491431176574
"01/31/1992",4109.64572466,2.64483067637892
"02/29/1992",5517.3574887,17.8348099398813
"03/31/1992",4109.64572443,-7.1962794483294
"04/30/1992",1885.97930859,-55.3337213373221
"05/31/1992",2789.49041655,-31.7198375529974
"06/30/1992",2834.30371303,-27.3662624306215
"07/31/1992",2727.32546772,-28.8465325834076
"08/31/1992",2764.39877449,-24.9156100547498
"09/30/1992",2095.33105002,-45.852430581035
"10/31/1992",1762.82,-56.1913423988586
"11/30/1992",1241.03333166,-66.800783140069
"12/31/1992",1554.60734745,-62.5332415679914
"01/31/1993",8365.6910475,103.562341087007
"02/28/1993",1016.36236561,-81.578819793867
"03/31/1993",9505.2612105,131.291499264657
"04/30/1993",1351.73671176,-28.3270656468343
"05/31/1993",1206.16218664,-56.760482865119
"06/30/1993",1351.38514192,-52.320383461118
"07/31/1993",1161.48,-57.4132235500672
"08/31/1993",8647.2443102,212.807413676969
"09/30/1993",7651.7801308,265.182395914334
"10/31/1993",8830.279395,400.917813219727
"11/30/1993",8307.1792103,569.375994856509
"12/31/1993",1429.59,-8.04173141565709
"01/31/1994",7596.1677779,-9.19856190278464
"02/28/1994",8388.8701612,725.381817061395
"03/31/1994",9181.5725445,-3.40536318604729
"04/30/1994",8466.902781,526.372185303442
"05/31/1994",9207.53879045,663.374850616018
"06/30/1994",9948.1747999,636.14652783336
"07/31/1994",9803.2608202,744.03182320832
"08/31/1994",9658.3468405,11.6927716394845
"09/30/1994",1497.91936166,-80.4239100437483
"10/31/1994",4689.69303573,-46.8907740520027
"11/30/1994",7881.4667098,-5.12463364185238
"12/31/1994",9009.1099163,530.188369833309
"01/31/1995",1295.17812328,-82.9495850914702
"02/28/1995",1217.13914846,-85.4910241180096
"03/31/1995",8028.9885606,-12.5532307054572
"04/30/1995",5481.866107,-35.2553554848713
"05/31/1995",7478.6836767,-18.7765172984463
"06/30/1995",1429.44054263,-85.6311276049917
"07/31/1995",1165.4846614,-88.1112551958378
"08/31/1995",1156.84973782,-88.0222800348293
"09/30/1995",1161.16719961,-22.4813278117195
"10/31/1995",1159.00846872,-75.2860483641529
"11/30/1995",1160.08783416,-85.280812862947
"12/31/1995",1611.11,-82.1168793036363
"01/31/1996",1002.95246939,-22.5625841447929
"02/29/1996",1437.32548426,18.0904817726546
"03/31/1996",1849.15064486,-76.9690711239248
"04/30/1996",1848.09850242,-66.2870550584938
"05/31/1996",1825.34269881,-75.5927275745477
"06/30/1996",2072.7560508,45.0047056162529
"07/31/1996",1811.06000126,55.3911485273881
"08/31/1996",2218.05483898,91.7323198049701
"09/30/1996",2310.058438,98.942791251413
"10/31/1996",2808.97920748,142.360542074573
"11/30/1996",3307.89997696,185.142200405471
"12/31/1996",3403.90976781,111.277303710485
"01/31/1997",4480.51927667,346.732962270393
"02/28/1997",5352.17625898,272.37051159192
"03/31/1997",6180.5915798,234.239484326488
"04/30/1997",5664.6515962,206.512428248949
"05/31/1997",5372.50177104,194.328389652119
"06/30/1997",6141.334984,196.288363583823
"07/31/1997",6038.96,233.448919185369
"08/31/1997",6645.59788482,199.613777262426
"09/30/1997",6773.47842559,193.216756518694
"10/31/1997",6750.37178463,140.314053114189
"11/30/1997",6869.70778104,107.67580123004
"12/31/1997",7222.21540509,112.174114407757
"01/31/1998",7464.73377242,66.6042106165855
"02/28/1998",8402.39345119,56.9902231282514
"03/31/1998",8319.59567829,34.6084039185003
"04/30/1998",8318.3128866,46.8459753496605
"05/31/1998",7836.20720092,45.857694140938
"06/30/1998",7947.25715322,29.4060196020078
"07/31/1998",7305.16156029,20.9672122400215
"08/31/1998",7298.06356817,9.81801328726756
"09/30/1998",8192.31871056,20.9469964443921
"10/31/1998",7933.6935522,17.5297273294535
"11/30/1998",7651.49792928,11.380253326025
"12/31/1998",7107.5,-1.58836864667803
"01/31/1999",6549.6,-12.2594294762547
"02/28/1999",6274.9,-25.3200884194335
"03/31/1999",5507.1,-33.8056774276809
"04/30/1999",5115.1,-38.5079634568696
"05/31/1999",4988.9,-36.335271999772
"06/30/1999",4772.3,-39.9503513225767
"07/31/1999",4708.2,-35.5496800290739
"08/31/1999",4971,-31.8860413647166
"09/30/1999",5032.1,-38.575387777412
"10/31/1999",5343.5,-32.6480161498265
"11/30/1999",5021.9,-34.3670997964636
"12/31/1999",5424.6,-23.6778051354203
"01/31/2000",5789.2,-11.6098693049957
"02/29/2000",6494.8,3.50443831774212
"03/31/2000",6682.8,21.3488042708504
"04/30/2000",6692.6,30.8400617778734
"05/31/2000",6786.8,36.0380043697008
"06/30/2000",7272.4,52.3877375688871
"07/31/2000",7634.9,62.161760333036
"08/31/2000",7958.6,60.100583383625
"09/30/2000",8118.1,61.3262852487033
"10/31/2000",8788.5,64.4708524375409
"11/30/2000",9484.4,88.8607897409347
"12/31/2000",9386.1,73.0284260590643
"01/31/2001",9705,67.6397429696677
"02/28/2001",10016.25,54.2195294697296
"03/31/2001",10787.5,61.4218591009756
"04/30/2001",10176.3,52.0530137764097
"05/31/2001",10353.7,52.556433075971
"06/30/2001",10166.7,39.7984159287168
"07/31/2001",10389.9,36.0842971093269
"08/31/2001",10204,28.2135048877943
"09/30/2001",10563.9,30.1277392493317
"10/31/2001",10581.68,20.4037093929567
"11/30/2001",10117.8,6.67833495002319
"12/31/2001",10267.1,9.38622004879556
"01/31/2002",9668.78,-0.373209685728999
"02/28/2002",9768.47,-2.4737801073256
"03/31/2002",9546.1,-11.5077636152955
"04/30/2002",9403.4,-7.59509841494453
"05/31/2002",9226.3,-10.8888609868936
"06/30/2002",8674.7,-14.6753617201255
"07/31/2002",8143.03,-21.6255209386038
"08/31/2002",8089.2,-20.7252058016464
"09/30/2002",7424,-29.7229242987912
"10/31/2002",7741.9,-26.836759380363
"11/30/2002",7737.1,-23.5298187352982
"12/31/2002",7681.1,-25.1872485901569
"01/31/2003",7134.42,-26.2117868024715
"02/28/2003",7655.06,-21.6350155142003
"03/31/2003",8226.16,-13.827007888038
"04/30/2003",8216.82,-12.6186273050173
"05/31/2003",8269.57,-10.3695956125424
"06/30/2003",7673.09,-11.5463358963422
"07/31/2003",7643.95,-6.12892252638146
"08/31/2003",7448.96,-7.91475053157296
"09/30/2003",7170.46,-3.4151400862069
"10/31/2003",7305.84,-5.63246748214262
"11/30/2003",7489.55,-3.19951919970015
"12/31/2003",7467.78,-2.77720638970982
"01/31/2004",8323.996,16.673759044183
"02/29/2004",9352.4,22.1727850598166
"03/31/2004",9684.49,17.727955692571
"04/30/2004",9975.91,21.408403737699
"05/31/2004",10083.87,21.9394720644483
"06/30/2004",11441.36,49.1102020177008
"07/31/2004",12228.31,59.9737046945624
"08/31/2004",12482.4,67.5723859438096
"09/30/2004",13222.9,84.407973825947
"10/31/2004",14657,100.620325657282
"11/30/2004",16345.4,118.242751567184
"12/31/2004",16955.02,127.042307084569
"01/31/2005",19592.64,135.375413443255
"02/28/2005",20554.09,119.773427141696
"03/31/2005",21807.98,125.18459929227
"04/30/2005",22210.2,122.638335750824
"05/31/2005",23290.5,130.967872453731
